name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New york,2022-01-01,13.5,10,11.6,13.5,10,11.6,10.2,91.6,18.463,100,54.17,rain,0,0,,13.1,136.1,1008.3,100,8.7,15.2,1.4,1,,2022-01-01T07:20:13,2022-01-01T16:39:22,0.96,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,KLGA,E5816,F8726,KNYC,F1417,72503014732"
New york,2022-01-02,14.7,3.6,10.2,14.7,0.2,9.4,7.5,83.8,2.318,100,12.5,rain,0,0,49.5,22.9,308.9,1004.7,91.5,11.8,26.8,2.2,2,,2022-01-02T07:20:18,2022-01-02T16:40:13,0,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72505394728,KLGA,E5816,E4722,KNYC,F1417,72503014732"
New york,2022-01-03,3.3,-4.7,-1,-0.1,-10.8,-6.2,-10.4,49.9,0,0,0,,0,0,44.1,26.1,0.2,1019.3,63.4,16,13.1,1.1,1,,2022-01-03T07:20:21,2022-01-03T16:41:06,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"0516W,72505394728,KLGA,E5816,KNYC,F1417,72503014732"
New york,2022-01-04,1.3,-6.9,-2.6,0.2,-13.9,-6.5,-12.1,49.1,0,0,0,,0,0,38.9,19.9,284.1,1028,10.1,16,106.5,9.2,5,,2022-01-04T07:20:22,2022-01-04T16:42:00,0.06,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,E5816,F8726,KNYC,F1417,72503014732"
New york,2022-01-05,8.1,-0.5,4.2,7.2,-3.7,2,0.4,77,5.745,100,33.33,"rain,snow",0,0,31.7,20.5,220.4,1014,67.2,13.5,23.9,2.1,1,,2022-01-05T07:20:20,2022-01-05T16:42:56,0.1,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"72505394728,KLGA,E5816,KNYC,F1417,72503014732"
New york,2022-01-06,5.2,1.8,3.2,3.1,-1.5,0.3,-6.6,50.2,0,0,0,,8.4,2.8,38.4,21.3,285.2,1011.1,31.2,16,66.6,5.9,4,,2022-01-06T07:20:16,2022-01-06T16:43:54,0.13,Partially cloudy,Partly cloudy throughout the day.,snow,"72505394728,KLGA,E5816,F8726,KNYC,F1417,72503014732"
New york,2022-01-07,1.4,-3,-0.9,-1.5,-9,-5.9,-6.9,65.9,9.314,100,33.33,"rain,snow",5,11.7,52.4,24,312.3,1012.1,72.4,10.1,78.9,6.8,5,,2022-01-07T07:20:10,2022-01-07T16:44:52,0.16,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"0516W,72505394728,KLGA,E5816,KNYC,F1417,72503014732"
New york,2022-01-08,-1.2,-6.2,-3.3,-1.2,-13.2,-7.4,-14,44.1,0,0,0,,0,9.3,51.8,24,295.9,1032.6,7.9,16,113.7,9.8,5,,2022-01-08T07:20:02,2022-01-08T16:45:52,0.19,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,E5816,F8726,KNYC,F1417,72503014732"
New york,2022-01-09,4.3,-1.5,2.2,1.4,-6.4,-1.7,-3.6,66.8,2.765,100,25,rain,0,6.2,42.5,22.3,225.3,1022.9,77.8,14.8,31.5,2.7,1,,2022-01-09T07:19:51,2022-01-09T16:46:53,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KLGA,E5816,F8726,KNYC,F1417,72503014732"
New york,2022-01-10,4.7,-3.6,-0.7,1.2,-8.6,-5.6,-10.9,47,0,0,0,,0,0.5,49.8,33.6,297,1019.1,41.7,15.9,104.3,9,5,10,2022-01-10T07:19:38,2022-01-10T16:47:55,0.26,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KLGA,E5816,E4722,F8726,KNYC,F1417,72503014732"
